TIME,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
14.800000000,0.261836,0.243701,0.30693,0.301713,0.279574,0.292457,0.284644,0.28084,0.274606,0.260731,0.350446,0.311491
14.900000000,0.276031,0.244553,0.353088,0.298357,0.260181,0.281553,0.272211,0.246527,0.280966,0.289163,0.365101,0.269474
15.000000000,0.278215,0.269366,0.345676,0.287066,0.269128,0.289584,0.292213,0.267774,0.285566,0.277861,0.340957,0.244445
15.100000000,0.290159,0.243253,0.298957,0.287849,0.303937,0.280933,0.294489,0.293368,0.277606,0.275327,0.31827,0.293509
15.200000000,0.301265,0.241163,0.278417,0.29789,0.306554,0.285772,0.295422,0.281584,0.25139,0.27523,0.322416,0.315786
15.300000000,0.284695,0.247567,0.29208,0.291205,0.283863,0.321668,0.276106,0.260553,0.239539,0.279743,0.353691,0.314077
15.400000000,0.284025,0.266453,0.297433,0.257796,0.276584,0.325743,0.276072,0.263,0.251268,0.295727,0.351851,0.301706
15.500000000,0.310792,0.276645,0.289197,0.273237,0.268906,0.32616,0.256841,0.259748,0.257976,0.292826,0.345267,0.291455
15.600000000,0.326822,0.270941,0.306442,0.267475,0.277712,0.325809,0.249915,0.268258,0.262718,0.275957,0.332694,0.284209
15.700000000,0.311813,0.280273,0.334605,0.270403,0.311082,0.334412,0.265996,0.23979,0.234198,0.246488,0.338432,0.268595
15.800000000,0.31391,0.258432,0.304789,0.281398,0.297671,0.315647,0.265555,0.24513,0.245239,0.269911,0.347093,0.300459
15.900000000,0.299553,0.254401,0.307208,0.28765,0.28823,0.305401,0.264657,0.256821,0.254242,0.279351,0.353376,0.297544
16.000000000,0.282346,0.230714,0.373277,0.278749,0.233148,0.35187,0.263885,0.257975,0.258708,0.246193,0.372395,0.263511
16.100000000,0.285313,0.244349,0.347567,0.289686,0.235759,0.347641,0.272094,0.308358,0.26492,0.229314,0.319122,0.289841
16.200000000,0.291898,0.259289,0.328896,0.271398,0.238295,0.335507,0.267305,0.351261,0.24617,0.252214,0.291379,0.304034
16.300000000,0.291812,0.264244,0.343885,0.253571,0.256631,0.309066,0.251099,0.379722,0.230182,0.272648,0.266918,0.308673
16.400000000,0.27568,0.272126,0.342668,0.290604,0.283758,0.285979,0.236101,0.367501,0.25584,0.285333,0.247644,0.294577
16.500000000,0.285481,0.232226,0.302189,0.306888,0.272106,0.28523,0.254711,0.353705,0.277433,0.289059,0.271655,0.315231
16.600000000,0.279438,0.228665,0.288609,0.308431,0.296744,0.286984,0.263416,0.352045,0.291191,0.279643,0.2751,0.297975
16.700000000,0.246523,0.262875,0.332457,0.293557,0.303127,0.307613,0.241542,0.355853,0.282775,0.27994,0.25205,0.28298
16.800000000,0.214181,0.267945,0.365022,0.270424,0.285732,0.319445,0.223359,0.372349,0.271855,0.28809,0.243838,0.295607
16.900000000,0.211231,0.251818,0.379817,0.25825,0.288626,0.30851,0.211543,0.399245,0.27074,0.28557,0.21648,0.310918
17.000000000,0.263426,0.263438,0.348401,0.254242,0.310403,0.284686,0.259015,0.34642,0.274627,0.29092,0.234331,0.309398
17.100000000,0.271985,0.264772,0.345594,0.262532,0.335165,0.292912,0.26122,0.326941,0.265715,0.270507,0.235422,0.308384
17.200000000,0.310734,0.255342,0.311933,0.260265,0.301596,0.265418,0.266058,0.326462,0.282441,0.265324,0.252478,0.347158
17.300000000,0.308703,0.22058,0.310752,0.261804,0.299642,0.263623,0.263789,0.33036,0.318133,0.25973,0.27094,0.332952
