TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
117.330430839,-161.578,8.05305,-9.44249,9.40898,2.01397,1.83314,-7.11802,4.18953,1.12705,5.89533,-0.0633953,1.86302,-2.35035,7.62997,2.8376,6.00012,3.32064,1.99462,-6.02921,-2.42756,-5.64348
117.353650794,-158.423,12.167,-1.75908,13.5958,5.63789,5.7649,-4.64167,5.78613,1.43672,3.50674,-1.44721,-0.686842,-0.887233,6.79519,0.589364,4.80563,0.297291,-0.0707158,-6.5066,-1.8144,-3.08666
117.376870748,-163.281,7.53175,-3.96902,15.6588,1.61241,7.6102,-7.66074,4.95737,1.36911,4.80648,0.309643,0.599732,0.377985,8.00743,-0.0433612,6.81046,2.96399,3.25962,-4.81067,-0.918869,-0.527569
117.400090703,-172.086,8.58992,-1.37453,11.786,3.98684,3.40796,-4.09838,7.74473,3.85588,6.19137,3.91913,4.17538,-0.672146,6.63817,4.0883,7.12308,2.6522,0.686027,-4.26127,-1.85115,-1.64757
117.423310658,-173.03,9.81122,3.59635,13.9424,5.12746,4.81893,-2.1768,6.85536,0.0286743,4.81843,0.934886,3.68641,-1.87611,6.464,3.97075,8.03508,0.720463,-1.17119,-6.12,-1.62182,-1.99621
117.446530612,-172.595,5.36596,1.16814,10.8625,1.74469,2.606,-3.15246,6.36289,1.06101,4.61882,1.03466,3.24593,-0.381047,6.80248,2.94387,5.58869,0.547926,-0.837409,-4.37184,-1.58151,-4.5323
117.469750567,-175.889,-0.398132,-4.12225,7.54975,-1.00324,0.206757,-2.80986,5.68893,2.03497,8.1678,3.00476,6.05161,1.72455,9.15396,5.83181,11.2497,0.707935,-0.408645,-3.75326,-2.39946,-2.37595
117.492970522,-165.87,-3.48781,-0.331765,5.36956,-0.820506,0.588925,-5.30653,4.45739,0.268427,2.68932,-2.64105,4.43618,-0.229402,5.4758,3.46434,9.22927,-1.09353,-2.04575,-6.6869,-2.51012,-4.36012
117.516190476,-171.617,-2.90776,-3.38372,9.06879,-4.4936,0.532614,-7.01645,5.57383,1.21774,3.58114,-0.688116,3.80186,-1.32117,6.4746,5.11511,7.18556,-1.68804,-4.05864,-9.9014,-4.11585,-5.91429
117.539410431,-153.978,9.86697,3.22275,9.98292,-3.20905,3.11738,-7.36242,4.09667,0.665396,-1.17566,-2.24401,-0.148051,-2.51694,1.31017,-0.764381,0.29991,-0.935421,-1.6554,-2.46793,-0.10812,-3.64608
117.562630385,-157.698,16.8797,-4.51905,7.87766,1.766,5.6416,-0.101151,4.01419,-2.49143,2.39362,2.61364,4.41932,-3.74767,2.98412,-1.94148,5.03062,-0.650411,-0.0619883,-5.1394,-2.29841,-4.83387
117.585850340,-155.991,10.9865,-6.86269,5.29067,1.67996,7.18727,2.67133,3.30968,-0.137269,5.00585,2.57017,6.75878,2.51065,2.5254,-2.14439,5.21955,3.50042,0.093316,-5.86599,-0.4021,-1.67191
117.609070295,-161.247,10.0226,-5.17029,5.54904,1.77832,10.416,2.33895,6.21001,1.09716,4.29377,1.58623,6.04566,4.15631,7.2564,1.79601,4.68143,-0.587963,-1.43207,-6.4196,-2.24786,-0.684578
117.632290249,-162.924,7.72213,-5.01111,6.75402,3.78298,9.70166,3.7364,6.7268,-3.32938,2.40485,0.174188,7.09529,3.52711,6.60938,3.48632,7.96527,0.832847,-1.20257,-4.73815,-2.67802,-2.46533
117.655510204,-157.732,5.98244,-8.64722,2.24227,1.39635,6.31095,0.199249,5.27236,-1.57705,1.98629,1.08993,8.987,1.27092,5.44188,4.76925,5.60964,-1.52989,-1.18095,-4.67635,-1.38327,-2.11711
117.678730159,-160.279,6.30314,-4.02203,2.49636,-2.49205,3.37203,-0.0715166,7.22062,-3.28252,1.92289,-1.29197,7.37487,1.29433,6.76072,1.9091,6.42709,1.00257,0.828887,-5.12867,-0.734326,-3.60876
117.701950113,-164.317,0.211161,0.778786,2.52403,-0.877975,-0.852228,-1.63896,8.36666,-1.35637,1.63564,0.0683397,6.44546,3.12944,4.70087,-0.0618423,4.41092,-2.43864,-1.47502,-4.79823,-1.65719,-4.81651
117.725170068,-171.26,4.74297,-4.29598,8.62678,-1.31598,1.23573,-6.2197,3.87748,-3.83254,1.26607,-3.71695,5.52459,-1.542,5.6441,1.43288,9.36871,1.62789,0.0769043,-7.08752,-2.76761,-5.18182
