TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
9.055782313,0.670451,0.0995629,0.419412,0.00315548,0.145589,1.92668,0.527654,0.733739,0.446433,0.209016,2.68377,0.254323
9.102222222,0.777041,0.0476301,0.445129,0.0655673,0.0218394,2.09885,0.771792,0.739314,0.39829,0.314404,2.79978,0.200256
9.148662132,0.806895,0.0178983,0.474507,0.0930449,0.0054454,2.17594,0.569324,0.664998,0.340613,0.335963,2.85406,0.226407
9.195102041,0.922092,0.173856,0.300031,0.0301432,0.0308916,2.10571,0.345388,0.738429,0.239784,0.291054,2.91456,0.116073
9.241541950,0.43146,1.2197,0.0992592,0.00759519,0.10312,1.81523,0.184149,0.503456,0.445913,0.512332,1.82214,0.912756
9.287981859,0.15022,2.12813,0.155477,0.00911547,0.264019,1.62716,0.0955916,0.298948,0.790799,0.34567,0.646267,1.25024
9.334421769,0.138583,2.30075,0.188658,0.170925,0.346565,1.75631,0.00658758,0.427057,1.08894,0.256385,0.283773,1.21815
9.380861678,0.121287,2.44573,0.187398,0.255997,0.342253,1.72457,0.0705629,0.489301,1.20872,0.173036,0.130293,1.04191
9.427301587,0.135541,2.60582,0.105924,0.314066,0.459768,1.82883,0.102103,0.362345,1.4482,0.0483614,0.0247096,0.73096
9.473741497,0.0678864,2.52478,0.00598288,0.358574,0.592006,1.9331,0.0936231,0.162661,1.86052,0.131208,0.0115777,0.659544
9.520181406,0.0877543,2.06633,0.050951,0.457918,0.597956,1.68583,0.182871,0.252004,1.85422,0.178496,0,1.29841
9.566621315,0.153237,1.84976,0.0508694,0.444063,0.437684,0.906599,0.463792,0.630742,1.27009,0.110056,0.0405466,1.49916
9.613061224,0.105483,1.81527,0.051123,0.620384,0.404483,0.777394,0.748553,0.918709,0.596943,0.104043,0,1.60615
9.659501134,0.0674873,1.96138,0.103337,0.507954,0.214594,0.856403,0.79186,0.834496,0.955174,0.0781683,0.000301859,1.64645
9.705941043,0.000368688,2.14967,0.103986,0.26073,0.203542,1.20506,0.63972,0.551604,1.36904,0.0391793,0.00138906,1.61739
9.752380952,0.000380789,1.97593,0.424974,0.00115445,0.270107,1.72875,0.328231,0.254851,1.41575,0.157761,0.0310674,1.68393
